Ward_No,WardName,zone_name,year,month,max_rainfall_3day_mm,avg_monsoon_rainfall_mm,drain_density_km_per_km2,depression_area_fraction,mean_slope_percent,impervious_surface_fraction,drain_condition_score,drain_capacity_proxy,mean_elevation_m,area_km2,yamuna_backflow_risk,water_body_fraction
7,KADIPUR,Civil Line,2026,5,27.0,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,6,35.6,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,7,217.3,169.1,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,8,180.6,169.1,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,9,121.0,169.1,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,10,121.6,169.1,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,11,30.8,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
7,KADIPUR,Civil Line,2026,12,13.4,0.0,3.3,0.049,1.95,0.82,1,45.1,216.9,26.99,0.5,0.064
8,MUKUNDPUR,Civil Line,2026,1,35.4,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,2,21.4,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,3,38.1,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,4,8.6,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,5,34.9,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,6,23.4,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,7,190.4,142.3,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,8,100.7,142.3,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,9,192.8,142.3,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,10,181.4,142.3,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,11,13.1,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
8,MUKUNDPUR,Civil Line,2026,12,9.6,0.0,1.55,0.057,0.73,0.51,1,12.0,236.0,2.79,0.0,0.059
9,SANT NAGAR,Civil Line,2026,1,34.9,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,2,12.4,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,3,26.8,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,4,27.1,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,5,30.7,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,6,9.6,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,7,171.7,247.7,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,8,204.5,247.7,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,9,80.5,247.7,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,10,90.4,247.7,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,11,39.0,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
9,SANT NAGAR,Civil Line,2026,12,11.3,0.0,3.71,0.024,1.52,0.88,5,211.2,212.9,9.32,0.8,0.061
10,JHARODA,Civil Line,2026,1,23.3,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,2,20.1,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,3,36.4,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,4,7.5,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,5,38.4,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,6,27.9,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,7,114.6,235.1,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,8,83.5,235.1,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,9,131.5,235.1,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,10,83.1,235.1,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,11,10.8,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
10,JHARODA,Civil Line,2026,12,26.6,0.0,2.22,0.052,1.77,0.6,1,25.9,199.3,20.09,0.0,0.06
11,TIMARPUR,Civil Line,2026,1,11.1,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,2,37.6,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,3,9.1,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,4,33.6,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,5,18.3,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,6,35.7,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,7,197.6,149.2,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,8,187.0,149.2,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,9,184.3,149.2,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,10,101.8,149.2,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,11,7.8,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
11,TIMARPUR,Civil Line,2026,12,19.1,0.0,2.66,0.141,1.16,0.7,2,59.0,227.2,9.27,0.0,0.018
12,MALKA GANJ,Civil Line,2026,1,9.0,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,2,28.4,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,3,5.4,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,4,13.9,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,5,14.1,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,6,7.4,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,7,213.2,256.6,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,8,131.3,256.6,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,9,202.3,256.6,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,10,104.8,256.6,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,11,9.4,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
12,MALKA GANJ,Civil Line,2026,12,21.6,0.0,2.85,0.065,1.96,0.72,1,30.7,216.6,10.44,0.2,0.021
13,MUKHERJEE NAGAR,Civil Line,2026,1,21.9,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,2,14.6,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,3,23.1,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,4,15.5,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,5,37.9,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,6,14.1,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,7,123.0,236.4,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,8,198.4,236.4,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,9,193.1,236.4,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,10,81.6,236.4,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,11,33.1,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
13,MUKHERJEE NAGAR,Civil Line,2026,12,21.0,0.0,2.77,0.14,1.14,0.59,2,34.8,210.2,27.95,0.0,0.056
14,DHIRPUR,Civil Line,2026,1,12.3,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,2,9.3,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,3,30.4,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,4,16.3,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,5,39.9,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,6,39.3,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,7,161.5,188.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,8,72.1,188.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,9,166.8,188.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,10,65.8,188.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,11,6.0,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
14,DHIRPUR,Civil Line,2026,12,33.8,0.0,2.39,0.03,1.51,0.38,1,30.6,195.3,3.13,0.0,0.02
15,ADARSH NAGAR,Civil Line,2026,1,26.8,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,2,14.4,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,3,19.2,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,4,36.2,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,5,5.1,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,6,6.4,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,7,152.7,257.7,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,8,204.3,257.7,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,9,90.6,257.7,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,10,129.8,257.7,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,11,20.8,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
15,ADARSH NAGAR,Civil Line,2026,12,21.6,0.0,1.75,0.147,0.81,0.53,2,21.4,229.2,29.66,0.8,0.098
16,AZADPUR,Civil Line,2026,1,24.0,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,2,26.1,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,3,33.9,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,4,39.4,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,5,15.1,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,6,38.6,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,7,116.2,244.4,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,8,115.5,244.4,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,9,107.9,244.4,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,10,142.0,244.4,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,11,10.4,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
16,AZADPUR,Civil Line,2026,12,24.4,0.0,2.69,0.078,1.05,0.58,5,68.0,195.3,7.74,0.0,0.016
17,BHALSWA,Civil Line,2026,1,10.0,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,2,20.7,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,3,25.5,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,4,26.9,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,5,7.5,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,6,28.9,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,7,91.1,190.4,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,8,171.4,190.4,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,9,189.8,190.4,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,10,186.7,190.4,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,11,24.3,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
17,BHALSWA,Civil Line,2026,12,23.2,0.0,1.77,0.128,0.99,0.76,5,61.4,197.6,11.26,0.0,0.145
18,JAHANGIR PURI,Civil Line,2026,1,14.7,0.0,1.71,0.055,1.09,0.77,2,45.3,227.5,9.24,0.0,0.015
